Date,Revenue,Marketing Spend (Google),Marketing Spend (LinkedIn),Marketing Spend (Campus),Marketing Spend (Events),Operational Costs,Number of Enrollments,Retention Rates,Seasonal Trends,Conversions (Google),Conversions (LinkedIn),Conversions (Campus),Conversions (Events),Leads Generated (Google),Leads Generated (LinkedIn),Leads Generated (Campus),Leads Generated (Events),Customer Acquisition Cost (Google),Customer Acquisition Cost (LinkedIn),Customer Acquisition Cost (Campus),Customer Acquisition Cost (Events),Payment Terms,Fixed Costs,Variable Costs,Liabilities
2020-03-12,22853.53,2542.05,1919.8,1881.76,1905.28,4435.76,42,0.89,High,14,6,3,6,35,15,14,12,130.95,108.71,224.21,173.5,30 days,4350.51,1348.46,3011.16
2020-03-13,24478.64,2361.55,3303.76,786.85,664.19,5503.67,63,0.94,High,16,7,5,7,22,15,8,7,149.66,99.85,138.35,191.15,30 days,3433.36,1067.83,2404.78
2020-03-14,27801.47,3165.63,3976.05,815.34,2458.06,5279.73,45,0.72,Low,7,3,1,12,21,16,10,19,136.25,69.37,159.63,225.11,30 days,2612.69,1556.78,3567.28
2020-03-15,23456.01,1616.58,1570.15,1823.83,1800.39,4722.14,57,0.83,Low,13,8,5,5,21,15,8,7,139.44,100.05,214.28,154.86,60 days,3831.77,2325.7,2028.79
2020-03-16,29663.52,3214.85,3597.78,1172.15,1383.17,6468.71,57,0.78,Medium,6,7,5,11,12,11,10,17,108.96,159.21,207.29,189.63,30 days,2421.34,1100.46,3565.36
2020-03-17,23780.31,3166.82,3457.99,552.59,1199.83,6797.81,47,0.76,Medium,7,7,3,9,20,22,8,10,147.72,92.14,135.29,96.74,90 days,3122.88,1854.33,4901.3
2020-03-18,29646.85,4047.61,1518.9,2307.1,2496.67,7264.92,52,0.83,High,9,10,4,5,18,10,17,10,56.42,134.64,127.08,90.42,30 days,3846.68,2613.4,1825.69
2020-03-19,26566.48,4334.6,2077.86,581.22,1807.03,7864.28,62,0.85,Low,6,6,5,10,19,16,14,12,72.68,187.95,189.58,182.57,90 days,4831.0,1853.74,1389.83
2020-03-20,22540.01,2761.77,2110.95,1988.19,1121.01,4333.28,48,0.7,Medium,9,6,4,4,24,22,7,14,116.72,212.83,135.43,217.45,90 days,3992.17,2104.89,4715.04
2020-03-21,27207.13,2209.33,3930.31,1847.98,2598.42,6580.47,42,0.9,Medium,5,9,8,7,17,14,14,7,191.45,172.08,194.1,158.66,60 days,3902.59,1854.94,2435.85
2020-03-22,25089.07,2037.34,1378.85,2922.04,2238.71,4971.29,66,0.9,Medium,10,4,3,6,24,23,13,8,146.67,91.32,93.33,153.19,60 days,4173.59,1347.95,3664.26
2020-03-23,28870.57,1778.5,3357.31,1710.53,3090.15,6385.41,57,0.94,High,11,5,5,5,23,15,13,12,103.29,121.3,190.97,159.24,90 days,2509.41,2941.52,2393.27
2020-03-24,14455.22,1230.59,1869.42,659.0,940.68,5379.91,45,0.75,Medium,11,6,7,11,19,14,11,7,118.69,148.65,211.33,210.12,60 days,4206.56,1380.68,4317.04
2020-03-25,26526.28,2369.79,3138.79,1879.22,2878.43,7968.87,50,0.85,Medium,10,13,8,5,20,18,10,10,176.85,199.43,232.83,197.01,60 days,2728.58,2240.62,2958.89
2020-03-26,24069.61,2080.99,2144.04,2602.74,2553.2,6644.51,44,0.81,Low,7,6,5,10,21,15,9,12,131.37,147.64,152.11,197.28,60 days,4228.9,1545.29,2250.49
2020-03-27,30678.99,4865.67,2650.75,2992.12,933.53,7762.46,47,0.78,Low,8,9,1,5,20,8,7,6,57.18,138.61,170.85,82.57,60 days,4677.51,2646.55,4271.48
2020-03-28,29758.56,3230.84,3464.36,1575.86,2614.98,7174.85,54,0.84,Low,11,2,4,10,20,16,10,18,112.53,101.55,122.0,190.36,30 days,3542.82,2587.9,2036.63
2020-03-29,24135.25,2389.11,3373.33,1300.75,1880.49,7514.51,43,0.9,High,8,5,3,9,18,10,14,10,108.2,139.94,97.09,191.77,30 days,2030.99,1911.85,3904.35
2020-03-30,32163.26,3321.87,3572.55,2766.63,3340.46,7072.1,42,0.71,Low,12,8,4,3,17,17,13,8,184.98,110.99,101.16,86.81,90 days,3799.23,1379.09,2310.57
2020-03-31,16829.54,1556.79,990.78,978.11,1010.67,5295.8,42,0.94,Low,5,4,4,11,13,20,11,8,95.81,150.31,222.02,142.8,90 days,3034.04,1096.1,2788.93
2020-04-01,28156.08,2776.17,3014.56,2038.57,2464.22,4258.94,46,0.9,Low,17,9,1,7,21,12,8,18,59.7,189.39,167.47,81.15,90 days,3651.26,1953.42,3505.08
2020-04-02,24055.45,3504.94,1247.96,1514.29,1707.74,4851.6,43,0.89,Low,8,6,3,2,23,12,12,12,103.22,211.32,137.74,130.51,60 days,3253.78,1328.24,3616.2
2020-04-03,25157.74,2955.59,2130.62,602.71,3374.76,3101.18,43,0.89,Medium,13,9,10,4,13,13,8,10,56.58,189.54,225.51,170.77,30 days,3984.93,2898.45,2870.13
2020-04-04,22985.95,2607.12,2555.48,1368.22,1556.93,5619.97,55,0.8,High,8,4,2,4,21,17,8,6,174.84,192.53,90.48,101.02,90 days,2946.78,1273.3,1577.37
2020-04-05,32054.46,4975.39,2088.77,1163.07,3390.34,5525.29,48,0.89,Medium,9,5,4,6,18,13,7,6,138.53,117.28,176.96,86.81,30 days,3130.85,1471.3,4011.63
2020-04-06,35493.06,4521.26,2462.76,2215.23,3214.31,5626.25,71,0.8,Medium,10,3,5,4,25,13,6,17,120.41,171.28,212.34,170.32,90 days,2113.89,2536.6,4540.59
2020-04-07,31495.48,3493.62,3988.88,2871.98,1384.11,7870.16,44,0.92,High,6,9,8,4,26,12,10,9,103.98,122.09,92.49,201.41,60 days,2425.23,1862.28,4666.59
2020-04-08,23086.99,3277.51,1232.7,1170.12,2930.27,7557.27,39,0.74,Medium,10,9,4,5,20,18,11,9,112.65,63.88,91.7,90.46,30 days,3145.08,1715.7,1394.28
2020-04-09,32438.32,3482.64,2961.46,2528.66,3487.25,3808.56,52,0.77,Low,11,7,2,4,11,13,7,11,168.18,201.53,76.01,214.2,90 days,2006.79,1725.44,3873.71
2020-04-10,20114.01,1805.25,2067.2,638.4,1332.72,4844.41,46,0.84,High,7,9,2,0,19,14,10,13,77.0,68.37,239.55,186.61,30 days,2041.09,2059.07,1833.79
2020-04-11,23579.53,2580.55,1225.63,1845.3,1866.65,5119.78,68,0.78,Medium,13,16,5,3,17,11,14,12,60.72,78.48,194.59,176.88,30 days,3893.62,2070.21,1409.66
2020-04-12,19357.73,1157.84,1307.96,676.38,2108.52,4802.66,53,0.81,Medium,6,11,4,3,18,21,10,13,134.26,62.94,82.86,84.96,60 days,3339.81,1648.0,1284.48
2020-04-13,28023.9,2902.18,3837.67,2835.08,1455.3,6992.48,36,0.82,Low,12,8,4,6,19,18,6,3,178.84,70.76,190.83,218.41,30 days,2002.91,2388.27,1017.39
2020-04-14,26973.08,3172.1,3614.72,2415.88,644.27,5620.19,39,0.91,Medium,9,10,7,4,15,13,9,14,134.34,69.44,124.65,143.12,60 days,2758.59,1573.19,4688.65
2020-04-15,25478.77,1911.0,3702.53,2144.87,1238.37,5860.5,42,0.83,Medium,7,7,5,6,19,14,6,9,169.42,168.37,89.68,153.37,30 days,3904.26,1479.59,3420.07
2020-04-16,34393.07,4856.12,3972.9,2559.74,1417.62,7265.07,54,0.79,Medium,10,11,3,2,18,9,11,10,183.91,196.56,248.6,149.58,60 days,2596.86,2734.52,3413.27
2020-04-17,29706.3,4637.82,1466.61,2118.8,1886.44,7029.64,54,0.76,High,12,6,2,3,21,14,8,5,61.53,187.47,102.38,152.63,30 days,4357.37,1223.66,4245.49
2020-04-18,28825.5,3888.57,1937.41,2922.36,1096.2,3661.06,52,0.8,High,7,8,4,6,21,16,11,10,138.38,160.21,213.74,200.77,90 days,2839.58,2939.65,4446.97
2020-04-19,32358.46,3133.55,2941.5,2284.89,3132.44,6569.57,64,0.83,Medium,10,5,5,7,16,11,10,15,174.91,185.76,228.65,81.3,60 days,4825.6,2131.58,1018.25
2020-04-20,33532.04,4479.88,2348.17,2811.65,2644.24,5177.18,60,0.89,Medium,8,12,4,7,13,18,11,8,146.53,133.05,165.46,144.83,30 days,3559.42,2855.09,4018.57
2020-04-21,23136.6,1522.61,2138.85,1792.83,847.08,4473.24,66,0.73,Low,14,8,3,5,23,17,7,13,138.73,205.02,245.68,166.3,60 days,2527.09,2964.11,2555.87
2020-04-22,26856.6,4162.04,1945.0,792.66,2485.27,3250.09,47,0.76,High,7,12,5,6,18,14,12,10,168.21,133.59,91.58,84.43,60 days,2342.63,1832.92,2311.47
2020-04-23,20028.15,1499.28,2700.1,1820.44,2495.6,5436.25,40,0.79,High,16,7,4,3,26,8,11,10,156.09,64.51,242.96,160.87,60 days,2433.61,1386.34,3978.4
2020-04-24,32966.18,4176.84,2641.9,817.18,3373.04,4777.18,65,0.79,High,7,7,7,10,20,10,5,15,125.24,172.4,82.72,149.01,90 days,4109.37,2873.92,2720.71
2020-04-25,21061.14,2103.07,1316.67,1981.23,608.76,4257.57,55,0.8,Medium,12,9,8,4,28,16,13,10,56.61,192.92,155.92,101.75,30 days,2468.93,2699.61,4944.75
2020-04-26,25920.75,4508.36,2309.57,1706.23,1319.0,6473.36,45,0.9,Low,10,11,5,6,24,17,11,10,142.0,95.93,223.9,107.47,90 days,4817.57,1361.5,4371.65
2020-04-27,31329.58,4776.17,2571.11,2056.44,3290.6,6847.43,44,0.78,Low,8,8,3,7,18,15,14,9,81.98,110.86,169.57,79.22,60 days,2941.37,1303.09,1766.73
2020-04-28,22906.33,1595.18,2624.92,525.12,3303.19,4223.95,42,0.83,Medium,10,16,7,4,22,16,11,12,88.11,171.19,175.02,181.39,30 days,2192.4,2981.16,3053.41
2020-04-29,26223.53,2850.7,1472.34,987.1,2689.7,3247.24,62,0.86,Medium,10,13,8,9,21,20,11,13,151.93,151.81,98.98,89.48,60 days,2484.57,2156.45,3816.89
2020-04-30,33698.41,4923.95,3175.27,1728.33,2820.71,7243.76,51,0.76,Low,12,6,7,7,20,17,13,9,117.96,202.4,247.18,195.18,30 days,3019.63,1907.65,2331.84
2020-05-01,23637.86,2933.63,880.64,2876.26,865.3,3049.8,51,0.88,Low,10,5,6,8,15,20,9,7,157.52,136.43,111.6,211.8,60 days,2368.38,2248.68,1671.34
2020-05-02,27001.0,4454.19,1935.46,1459.02,2090.24,7685.56,46,0.84,High,4,7,6,3,16,12,11,14,108.88,167.59,224.61,104.78,90 days,4542.26,2669.96,2762.01
2020-05-03,28316.74,3354.93,3296.68,1560.93,1271.59,6138.1,48,0.81,Medium,10,13,1,4,27,11,10,7,180.5,103.46,242.18,107.95,60 days,4873.33,1028.98,1495.38
2020-05-04,23805.48,2501.32,2604.46,2286.74,1125.53,4609.23,51,0.9,High,7,9,3,5,25,19,8,10,114.06,208.71,120.54,85.31,60 days,4272.12,1201.82,1942.62
2020-05-05,26024.42,2143.13,1635.72,2009.48,2949.88,4232.39,51,0.76,Low,5,9,3,6,20,15,8,15,124.07,119.17,201.49,154.24,30 days,3847.52,2366.72,3880.79
2020-05-06,22345.32,1812.89,3023.85,1247.32,991.61,3045.03,48,0.92,High,10,10,4,6,20,10,16,15,68.94,146.32,84.47,224.1,90 days,4397.1,2358.09,2621.19
2020-05-07,26257.18,4047.19,2615.65,1527.04,1959.09,4177.36,44,0.84,Low,14,9,2,10,27,6,14,12,125.53,158.64,203.46,105.22,60 days,2463.22,2970.66,2755.46
2020-05-08,27691.59,2546.16,3347.98,1044.25,3321.88,3688.64,56,0.85,Low,10,9,10,7,28,10,11,9,85.97,100.68,157.18,91.37,90 days,3131.75,1053.71,3516.21
2020-05-09,27790.43,3045.1,3152.08,2915.05,1138.91,6060.83,46,0.92,High,12,8,4,3,26,18,5,11,164.45,110.68,91.23,165.01,90 days,2638.77,1158.24,2525.18
2020-05-10,25786.31,2969.3,2752.35,826.59,3436.18,3832.73,39,0.9,Medium,14,10,4,3,18,13,11,10,157.11,140.39,231.04,206.33,30 days,3391.67,1960.48,2782.44
2020-05-11,29435.87,3309.12,2362.17,1429.59,3483.44,5643.15,40,0.85,High,11,4,7,9,24,16,6,15,52.38,103.34,192.19,208.59,30 days,2526.98,2316.52,4015.64
2020-05-12,27050.2,4462.31,1226.18,564.6,2211.29,5950.58,50,0.89,High,10,8,3,7,23,9,14,10,124.07,80.82,100.35,122.0,30 days,4448.83,1516.94,3096.08
2020-05-13,28164.28,4922.96,1636.27,1054.45,1093.41,4490.21,58,0.81,Medium,5,8,4,6,11,17,7,15,56.81,193.85,165.91,194.82,90 days,4401.91,1512.44,4343.71
2020-05-14,20916.43,2630.34,2141.12,2451.18,1516.7,3175.32,37,0.84,Medium,16,4,5,5,25,11,11,8,135.39,111.96,128.66,162.74,60 days,3104.3,1077.83,3639.94
2020-05-15,27560.56,4310.08,2717.76,1002.94,1831.03,3186.27,51,0.72,High,15,4,7,9,21,14,14,12,185.25,126.56,197.9,185.93,30 days,4169.2,1092.65,2852.76
2020-05-16,25466.13,4058.11,2443.87,700.16,1497.04,3131.74,47,0.72,Low,12,5,6,9,17,10,10,14,180.08,147.55,182.94,176.68,90 days,3276.09,1179.55,4645.15
2020-05-17,23009.16,3294.12,1722.19,1686.13,1413.84,6695.62,51,0.91,High,6,6,4,5,20,17,13,9,86.57,194.79,104.12,86.06,90 days,2854.55,1138.33,2665.89
2020-05-18,26883.93,4824.19,820.69,524.92,3419.47,4590.05,50,0.71,Low,13,9,4,7,24,20,7,5,71.02,82.45,113.58,123.99,60 days,2826.55,2760.39,4825.19
2020-05-19,18890.35,1801.9,2387.97,711.92,1044.76,6981.5,53,0.74,Medium,10,6,6,4,23,22,8,15,168.66,160.15,196.82,190.91,90 days,3470.8,1814.41,4536.51
2020-05-20,23044.25,1437.06,1714.0,2519.06,2726.65,5158.66,54,0.9,Medium,8,9,2,3,18,15,14,14,131.93,116.17,191.53,190.39,30 days,2036.77,2517.12,2244.34
2020-05-21,29449.61,4415.85,3150.75,2428.68,601.19,5264.99,46,0.7,Low,10,10,3,6,15,13,6,7,113.57,199.13,126.2,85.14,30 days,4132.37,1254.54,1089.98
2020-05-22,25766.08,2756.6,876.63,2787.85,2328.93,5564.41,58,0.77,High,15,7,6,10,13,19,7,10,171.57,165.79,156.08,141.24,30 days,3168.4,1022.06,2131.22
2020-05-23,33578.99,4387.88,2671.45,2636.29,3256.23,6565.16,49,0.85,Medium,10,10,2,5,17,18,4,12,87.88,83.23,154.1,208.38,30 days,2419.06,2996.5,2846.18
2020-05-24,31529.57,4572.36,3812.72,2207.94,1435.01,4367.51,48,0.85,Low,8,8,4,9,17,14,8,10,83.69,107.51,92.4,195.61,30 days,3904.38,2594.11,4590.87
2020-05-25,14740.4,1249.83,1358.11,630.83,1138.03,3607.94,40,0.89,Low,10,11,4,4,23,15,12,10,141.79,65.79,181.79,160.85,90 days,4261.88,2665.18,1803.63
2020-05-26,29620.38,4533.86,2309.28,2457.12,2489.87,5780.29,33,0.83,High,8,5,6,5,16,13,15,12,90.89,183.29,117.6,99.06,30 days,2352.01,2204.35,4825.85
2020-05-27,25618.43,2793.28,1092.55,2613.78,2666.54,4634.89,58,0.83,Low,10,7,5,6,23,15,6,12,114.02,126.05,152.78,118.55,30 days,2309.55,1394.75,4923.98
2020-05-28,28339.35,3041.73,2802.18,2497.71,2595.29,5212.46,44,0.88,Low,12,3,4,6,16,15,4,20,118.22,67.79,82.92,172.85,30 days,3164.74,1047.45,2901.53
2020-05-29,24188.58,3506.37,2561.7,1771.2,1526.02,6234.73,44,0.82,High,10,4,5,8,19,12,7,18,80.75,62.15,180.53,193.93,30 days,3947.44,2493.55,1585.21
2020-05-30,27551.5,4705.53,2103.57,1082.25,1331.39,5470.63,41,0.85,Medium,15,8,9,9,12,12,12,10,59.25,212.89,221.13,166.25,60 days,3742.56,2622.42,4034.38
2020-05-31,25867.89,1076.46,2468.41,2613.32,3372.16,6101.39,55,0.92,Medium,14,8,9,1,11,13,8,19,165.0,196.37,172.53,130.24,90 days,4924.95,1962.12,2394.42
2020-06-01,32659.6,2907.37,3669.04,2317.91,3277.57,5721.0,46,0.8,Medium,14,6,8,7,23,16,8,15,167.54,113.51,177.43,160.14,90 days,3316.2,2243.9,2319.93
2020-06-02,28169.56,3750.89,1428.14,2951.9,1926.22,6698.98,52,0.8,Low,12,8,7,6,27,13,9,12,139.76,142.65,191.2,65.63,30 days,3047.78,2957.08,1400.61
2020-06-03,27489.83,3890.83,872.21,889.23,3053.96,6529.68,55,0.7,Low,6,12,6,7,19,10,11,9,72.29,152.14,105.34,186.38,60 days,4279.19,1674.94,4904.84
2020-06-04,28428.72,3770.13,3557.33,1064.16,1911.74,5670.95,47,0.85,High,12,9,5,11,15,17,8,10,121.43,142.45,82.38,204.25,60 days,4869.13,2699.95,4576.07
2020-06-05,19988.38,1537.74,2646.77,1029.5,1830.73,6394.52,43,0.71,Low,13,10,3,7,24,21,10,14,76.68,109.28,223.72,72.6,60 days,4677.6,2745.84,2181.2
2020-06-06,24730.49,2197.58,3650.11,2481.35,1054.61,7367.8,39,0.83,Low,12,3,4,1,25,15,10,13,182.19,122.49,222.39,130.91,30 days,3235.97,1166.73,1256.22
2020-06-07,22418.17,2434.86,2710.22,967.27,1836.58,5161.36,31,0.9,Medium,10,12,6,7,14,20,8,6,154.59,88.99,168.04,205.04,60 days,3894.63,1950.3,2942.28
2020-06-08,30096.96,4217.75,3392.52,666.65,2158.51,5063.82,55,0.84,Low,8,8,2,8,20,12,12,8,54.71,65.31,105.47,163.53,60 days,2428.84,2159.06,1700.58
2020-06-09,24083.17,2115.04,2174.95,2996.4,665.26,6821.23,54,0.77,Low,9,6,5,4,23,15,10,11,50.25,84.76,217.1,144.76,30 days,4143.13,1289.29,2970.98
2020-06-10,21339.85,1842.82,3199.55,562.04,1887.93,5912.77,42,0.9,Low,5,8,2,3,21,12,7,6,197.56,62.09,109.64,79.36,30 days,3051.32,1822.49,4102.12
2020-06-11,35883.78,4829.79,3721.73,2588.11,2865.93,3355.03,42,0.77,High,11,12,0,2,20,20,11,16,55.98,129.29,224.96,186.64,60 days,2667.59,1906.0,2495.14
2020-06-12,23639.09,1035.45,2630.79,1413.42,2572.13,7460.56,55,0.88,Low,12,9,9,4,15,17,12,8,179.88,165.74,146.28,178.73,90 days,2405.95,1555.48,3308.91
2020-06-13,31831.84,4991.28,1378.51,2604.04,2441.96,3153.92,51,0.85,High,12,3,2,4,15,5,9,10,193.37,88.95,80.35,162.31,30 days,2773.95,1180.43,3196.71
2020-06-14,26358.77,3707.29,1660.15,1886.55,3237.71,6741.98,48,0.74,Medium,8,4,6,7,19,13,13,11,96.22,145.43,217.04,74.97,90 days,3531.47,1697.06,2607.28
2020-06-15,28479.2,4313.88,1435.66,2754.08,652.29,6793.97,56,0.93,Low,8,6,5,7,14,17,8,15,131.02,112.0,170.91,171.05,90 days,4686.53,2222.83,4872.12
2020-06-16,23176.86,2178.48,1589.94,2815.48,2215.44,7765.56,52,0.75,High,13,8,6,6,18,20,10,11,147.11,79.2,127.3,73.53,90 days,2782.79,1742.94,2364.6
2020-06-17,17916.9,1057.26,1780.53,522.75,2883.31,3270.67,51,0.95,Medium,14,5,7,8,18,13,11,9,128.06,80.41,151.53,200.66,30 days,2168.23,1470.18,1135.53
2020-06-18,31003.29,3951.48,2576.43,688.53,2169.87,5984.28,60,0.7,Low,14,13,6,5,17,18,15,14,82.03,158.9,229.52,208.43,90 days,4339.81,1396.77,4384.16
2020-06-19,27470.45,4336.58,2681.57,1125.9,1539.3,5139.2,45,0.77,High,12,8,4,6,17,13,9,10,137.19,78.83,106.57,152.6,30 days,4342.6,1814.71,4723.49
2020-06-20,28371.68,3961.9,2164.8,2173.29,995.13,4653.16,51,0.75,High,6,3,5,7,16,17,9,8,88.8,148.52,88.68,204.99,30 days,2201.12,2936.2,2942.32
2020-06-21,25853.17,1571.4,2769.35,2720.68,3173.93,3451.59,51,0.7,Medium,11,14,7,5,14,9,6,15,74.75,90.5,211.26,131.13,90 days,2548.23,2261.31,1327.95
2020-06-22,25886.91,4013.71,1061.04,1649.85,1965.21,5813.27,46,0.88,Low,7,7,4,6,17,10,10,12,125.83,198.58,181.9,112.86,60 days,2480.07,1211.16,1355.27
2020-06-23,26235.54,4075.69,1080.92,2017.43,3146.53,5395.2,47,0.87,Low,6,7,2,6,22,9,12,9,105.8,68.0,226.59,144.88,60 days,3384.5,1276.04,3272.43
2020-06-24,23781.03,3634.16,1349.85,971.25,2298.97,3522.77,50,0.9,Low,7,15,5,5,19,7,13,16,54.11,121.93,126.41,157.2,30 days,2748.16,2190.81,1475.29
2020-06-25,32711.92,4064.46,2457.85,2512.42,2555.16,6062.45,51,0.76,High,11,7,6,4,17,16,7,16,192.45,181.84,171.03,191.47,90 days,4242.35,1496.36,1784.58
2020-06-26,31044.79,4383.69,1484.78,2918.32,2932.36,6689.77,52,0.81,Low,11,5,6,6,22,15,11,8,55.93,179.86,77.64,164.34,90 days,3853.08,2665.53,4124.08
2020-06-27,26007.97,3454.42,1706.51,1171.5,2511.55,6836.39,51,0.86,High,9,7,4,8,20,12,13,8,185.44,83.16,222.4,206.22,60 days,4033.55,1138.75,1887.48
2020-06-28,24083.6,1354.42,2081.0,1737.06,1754.36,7526.87,63,0.81,High,10,8,2,7,20,11,11,17,78.46,91.48,104.41,219.41,90 days,3134.36,1472.51,2542.57
2020-06-29,25807.58,2950.51,3397.97,715.29,2089.54,5047.35,46,0.87,Medium,10,11,5,10,14,17,10,8,71.28,147.41,90.63,151.13,30 days,3497.07,2269.51,2488.7
2020-06-30,18479.98,1310.6,844.36,1897.84,2928.83,7765.36,43,0.86,High,12,9,5,4,15,17,9,16,60.37,169.48,157.22,183.42,30 days,4036.83,2313.29,2760.64
2020-07-01,24592.76,2630.17,2878.01,1756.96,1683.59,7327.15,50,0.73,Medium,14,9,5,10,18,12,5,15,113.86,180.37,204.08,144.45,90 days,3582.17,2427.05,2681.06
2020-07-02,22580.73,2628.43,2940.4,861.09,1725.55,4482.51,43,0.9,Medium,10,8,2,4,17,10,9,17,138.03,159.29,107.76,214.5,60 days,2226.45,2733.66,3087.69
2020-07-03,23950.93,1264.04,3355.7,1605.17,877.5,3796.42,60,0.88,Low,11,6,6,8,25,16,8,19,185.56,185.3,112.03,70.04,90 days,3086.87,2937.89,3122.97
2020-07-04,30689.21,2395.28,3784.81,1335.26,3252.29,5176.95,54,0.86,Medium,11,14,4,5,15,12,15,7,167.56,130.38,126.81,183.57,30 days,4913.55,1401.79,1897.09
2020-07-05,16845.39,1443.99,864.44,1804.58,864.01,5009.49,51,0.74,Low,9,10,1,5,17,14,16,14,73.94,149.7,216.0,146.9,30 days,3504.16,1517.95,1598.19
2020-07-06,27935.14,4232.94,1292.11,1964.14,2479.81,5878.6,53,0.77,Medium,6,7,5,6,16,20,3,15,75.16,129.32,204.52,75.09,30 days,3231.51,1788.75,1743.6
2020-07-07,30137.07,4790.75,3635.75,521.24,1798.26,5916.93,50,0.8,High,14,7,8,5,18,8,10,19,51.22,181.75,118.57,188.04,60 days,4668.17,1765.66,1817.25
2020-07-08,20586.5,1289.27,2267.26,2402.51,1776.3,6749.93,43,0.77,Low,12,7,8,8,13,18,15,14,153.17,87.97,115.92,129.82,30 days,3991.19,1706.86,4283.99
2020-07-09,33120.94,4820.46,2606.69,2282.54,2570.7,5549.45,50,0.76,High,9,13,5,15,18,14,13,15,52.62,100.39,233.16,151.99,30 days,3279.3,1124.38,4720.57
2020-07-10,25430.46,3090.31,2921.69,1415.72,794.57,3524.11,48,0.9,Low,6,10,7,2,23,16,8,12,70.78,193.89,180.67,182.61,90 days,3784.45,2725.52,3955.86
2020-07-11,25759.59,2198.26,2973.01,632.34,2321.75,7291.46,59,0.86,High,11,3,8,7,25,19,17,13,145.18,174.3,110.5,106.59,90 days,3010.3,2326.88,1166.33
2020-07-12,26330.87,1307.45,3781.57,2387.33,2838.89,4548.82,48,0.84,Medium,10,13,1,6,19,17,7,14,72.54,177.63,95.27,112.57,60 days,4410.23,2574.62,3397.68
2020-07-13,32727.2,3002.5,3990.24,2887.94,3001.82,7856.49,58,0.76,Low,6,7,4,8,17,15,12,17,72.98,75.86,81.91,123.85,60 days,4150.19,2999.52,4122.99
2020-07-14,26005.72,4178.06,3104.5,1100.38,1094.54,3589.3,46,0.93,Low,11,14,5,6,26,15,8,13,85.1,137.5,114.34,188.36,90 days,2652.17,1978.89,3086.09
2020-07-15,29467.51,3828.35,1719.11,1308.81,3202.52,7791.26,51,0.75,Low,10,5,1,7,20,21,3,7,107.79,150.29,199.61,227.0,30 days,2922.73,1266.17,1320.02
2020-07-16,24267.75,1200.9,3615.21,959.53,2502.82,3455.06,51,0.9,Medium,11,6,7,8,17,12,17,13,51.18,184.79,136.9,124.89,30 days,2008.43,2666.09,3048.11
2020-07-17,21150.83,1291.61,957.51,1942.34,3157.38,4155.18,48,0.94,High,16,13,3,8,22,12,11,10,161.91,127.56,243.7,165.78,30 days,4373.04,2485.15,3549.43
2020-07-18,23064.8,2611.49,1539.46,887.1,2007.31,3232.9,61,0.88,Medium,7,6,3,7,17,22,12,7,166.07,146.51,128.37,118.47,90 days,2270.78,2536.37,3278.29
2020-07-19,28817.95,2181.16,3671.63,1390.48,2171.9,6525.57,59,0.95,Medium,6,5,3,8,16,15,12,8,105.01,98.13,97.04,209.67,30 days,3716.79,1322.09,3886.52
2020-07-20,26123.73,1929.54,1619.81,2242.53,3265.21,7251.49,59,0.86,Medium,11,9,9,7,20,20,7,12,169.72,193.14,101.79,219.36,90 days,4539.08,2509.27,2068.79
2020-07-21,23254.7,2124.02,1506.08,1900.29,3209.74,5170.36,45,0.75,High,11,9,4,8,25,12,9,17,92.72,206.22,157.92,96.29,60 days,4898.36,2185.07,3790.24
2020-07-22,25775.29,4213.93,1242.0,1466.16,1899.67,7642.61,47,0.75,Medium,11,9,3,7,27,14,15,12,197.85,134.27,238.74,172.93,30 days,2957.16,1101.19,2332.14
2020-07-23,28328.35,4716.91,3549.16,1550.62,1395.8,5951.5,46,0.78,Low,11,8,1,6,23,20,8,17,109.66,129.96,232.05,214.48,90 days,2550.87,1584.28,3852.03
2020-07-24,23662.21,2620.41,2400.19,1905.28,1740.19,6150.04,42,0.7,Medium,17,7,5,9,22,13,11,15,150.32,112.52,103.0,143.37,30 days,4961.4,1440.6,2953.72
2020-07-25,29606.86,4624.44,2959.66,514.66,1724.52,7227.1,57,0.87,High,12,9,4,7,22,13,7,10,98.37,102.69,205.81,120.33,90 days,2558.78,1582.27,4131.63
2020-07-26,23040.25,2285.98,1565.01,696.27,1431.91,4484.0,59,0.77,Low,10,6,5,6,25,19,9,12,117.62,148.54,205.43,214.43,30 days,2450.9,1399.58,3010.01
2020-07-27,26771.27,2905.75,3225.73,2703.15,1378.88,4771.33,49,0.9,High,8,6,8,6,22,21,14,17,146.76,87.0,99.75,107.55,60 days,4774.46,1795.71,2150.71
2020-07-28,26583.15,1904.12,3232.02,694.7,3097.08,7529.76,53,0.79,Medium,13,5,2,12,21,17,9,14,102.13,154.29,123.68,99.17,60 days,4808.46,1434.02,4959.15
2020-07-29,22477.23,3561.9,1800.31,2267.01,802.6,7504.82,38,0.82,High,9,7,2,9,21,5,9,10,148.49,149.81,83.69,210.29,90 days,3437.59,1792.21,1968.5
2020-07-30,34881.53,4915.92,2114.18,2800.1,2565.07,7882.41,55,0.94,Low,5,7,2,6,23,11,15,11,71.9,171.05,83.47,169.55,90 days,3920.9,1033.18,2610.49
2020-07-31,23995.55,3413.97,1471.01,1176.71,1101.18,7509.19,49,0.76,High,14,10,1,6,20,22,6,15,122.56,96.12,149.58,95.53,60 days,3253.54,2471.87,4100.8
